COMP;CO_IBGE;CNES;CO_TIPO_UNIDADE;MOTIVO_DESABILITACAO;LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS
202601;410855;2588404;05;;10;10;0;0
202601;410860;2733609;05;;40;0;0;0
202601;410860;2735970;05;;72;65;10;10
202601;410870;2573318;05;;26;26;0;0
202601;410880;2810123;05;;59;49;0;0
202601;410890;2753839;05;;16;16;0;0
202601;410900;2921456;15;;4;4;0;0
202601;410930;2572443;05;;48;47;0;0
202601;410940;0213845;05;;147;137;10;0
202601;410940;2741989;05;;220;140;44;37
202601;410940;2742047;05;;168;144;20;19
202601;410940;3139301;05;;20;12;0;0
202601;410940;3403416;05;;8;0;0;0
202601;410950;6732100;05;;14;14;0;0
202601;410960;2680807;05;;33;33;0;0
202601;410970;4053214;05;;51;51;0;0
202601;410975;2571978;05;;31;31;0;0
202601;410980;2729385;05;;103;68;0;0
202601;410980;2729504;05;;24;0;0;0
202601;411030;2753898;05;;11;11;0;0
202601;411040;2733145;05;;16;16;0;0
202601;411060;2738171;05;;31;31;0;0
202601;411070;2517523;05;;9;0;0;0
202601;411070;2783789;05;;171;133;22;20
202601;411070;6473687;05;;14;0;0;0
202601;411070;9363580;05;;37;9;0;0
202601;411080;2733560;05;;20;20;0;0
202601;411095;2582627;05;;25;25;0;0
202601;411100;2582058;05;;21;21;0;0
202601;411125;4064607;05;;37;37;0;0
202601;411130;2753847;05;;17;17;0;0
202601;411140;2687089;05;;21;21;0;0
202601;411150;0163864;05;;70;60;10;0
202601;411150;2590182;05;;85;66;14;9
202601;411150;2590727;05;;92;61;27;21
202601;411155;5795079;15;;1;1;0;0
202601;411170;2781743;05;;18;18;0;0
202601;411180;2783800;05;;84;62;10;9
202601;411190;2729407;05;;29;29;0;0
202601;411200;2687038;05;;71;71;0;0
202601;411210;2573504;07;;296;296;0;0
202601;411210;5240085;05;;67;56;0;0
202601;411240;2733617;05;;19;16;0;0
202601;411250;2587777;05;;23;23;0;0
202601;411275;2781751;05;;31;30;0;0
202601;411280;2781719;05;;31;26;0;0
202601;411290;2781794;15;;14;14;0;0
202601;411300;2733463;05;;18;18;0;0
202601;411310;2573415;05;;23;23;0;0
202601;411320;0017663;05;;94;94;0;0
202601;411320;0025399;07;;20;18;0;0
202601;411330;2741873;05;;64;54;10;10
202601;411330;2742071;05;;65;58;0;0
202601;411345;2572257;05;;20;20;0;0
202601;411350;0684570;05;;2;0;0;0
202601;411350;2753545;05;;58;35;0;0
202601;411350;2753774;05;;31;31;0;0
202601;411350;2753987;07;;51;51;0;0
202601;411370;2550792;05;;439;204;56;22
202601;411370;2577623;07;;191;137;32;17
202601;411370;2577704;05;;80;0;0;0
202601;411370;2577755;07;;24;0;0;0
202601;411370;2577763;05;;115;105;0;0
202601;411370;2578409;07;;65;65;0;0
202601;411370;2578425;05;;4;0;0;0
202601;411370;2578468;07;;220;206;0;0
202601;411370;2578506;07;;12;8;0;0
202601;411370;2578670;05;;101;101;0;0
202601;411370;2579391;07;;50;50;0;0
202601;411370;2579561;05;;6;0;0;0
202601;411370;2580055;05;;324;178;67;43
202601;411370;2781859;05;;447;430;84;73
202601;411370;3114872;05;;8;0;0;0
202601;411370;3235777;05;;3;0;0;0
202601;411370;3518094;05;;6;0;0;0
202601;411370;3599426;07;;10;8;0;0
202601;411370;4835220;05;;103;0;30;0
202601;411370;5301424;05;;19;0;0;0
202601;411370;6074502;05;;82;0;2;0
202601;411370;6528104;07;;13;0;0;0
202601;411370;7758391;05;;55;0;3;0
202601;411375;2590166;05;;21;19;0;0
202601;411380;2729415;05;;16;16;0;0
202601;411390;2554011;05;;39;33;0;0
202601;411400;0869899;07;;4;4;0;0
202601;411400;2733331;05;;10;10;0;0
202601;411420;7250401;05;;54;47;0;0
202601;411420;9745106;05;;26;0;0;0
202601;411430;0017779;05;;50;50;0;0
