Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2015
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"412015 Porto Barreiro";3564;816,58;15,31;393,21
"412020 Porto Rico";2608;1631,20;25,35;359,50
"412030 Porto Vitória";4143;593,76;15,89;163,72
"412033 Prado Ferreira";3668;1148,69;23,13;302,45
"412035 Pranchita";5558;984,89;15,98;552,13
"412040 Presidente Castelo Branco";5144;684,30;25,50;222,05
"412050 Primeiro de Maio";11243;589,10;18,27;255,18
"412060 Prudentópolis";51567;365,18;21,90;108,76
"412065 Quarto Centenário";4824;885,69;20,56;303,35
"412070 Quatiguá";7410;551,41;21,61;222,92
"412080 Quatro Barras";22048;655,73;18,29;165,57
"412085 Quatro Pontes";3998;805,23;16,21;256,77
"412090 Quedas do Iguaçu";32982;454,42;30,70;116,58
"412100 Querência do Norte";12247;684,29;30,08;177,74
"412110 Quinta do Sol";4985;948,90;25,98;170,51
"412120 Quitandinha";18419;504,26;24,24;159,77
"412125 Ramilândia";4385;811,23;20,07;253,43
"412130 Rancho Alegre";3990;938,50;26,42;188,12
"412135 Rancho Alegre D'Oeste";2833;997,17;18,56;182,48
"412140 Realeza";17023;627,13;26,25;191,61
"412150 Rebouças";14869;512,19;22,20;135,70
"412160 Renascença";6984;745,18;19,43;312,50
"412170 Reserva";26522;448,94;22,78;146,83
"412175 Reserva do Iguaçu";7815;532,04;15,20;170,26
"412180 Ribeirão Claro";10949;542,12;20,88;107,74
"412190 Ribeirão do Pinhal";13646;411,38;21,61;95,02
"412200 Rio Azul";15014;497,82;20,22;170,26
"412210 Rio Bom";3360;912,68;18,03;403,83
"412215 Rio Bonito do Iguaçu";13538;562,68;16,34;244,88
"412217 Rio Branco do Ivaí";4088;797,63;22,24;175,03
"412220 Rio Branco do Sul";32232;508,53;22,54;131,65
