 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2017
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"410685 CRUZMALTINA";-;4;1;4;-;1;-;11;6;3;-;-;1;-;-;-;2;1;34
"410690 CURITIBA";352;2423;30;727;72;693;1;2952;1048;612;22;68;230;8;113;84;94;1187;10716
"410700 CURIUVA";5;16;-;5;2;2;-;23;10;10;-;-;3;-;2;1;1;4;84
"410710 DIAMANTE DO NORTE";1;10;-;6;1;-;-;11;6;-;-;-;1;-;-;-;-;3;39
"410712 DIAMANTE DO SUL";2;5;-;1;1;2;-;9;3;1;-;-;-;-;1;-;-;5;30
"410715 DIAMANTE D'OESTE";-;10;-;4;-;1;-;8;2;6;-;-;-;-;-;-;1;1;33
"410720 DOIS VIZINHOS";6;52;1;10;1;7;-;61;29;8;-;2;7;1;1;4;1;22;213
"410725 DOURADINA";2;6;2;4;2;2;-;21;8;3;1;-;1;-;1;-;-;6;59
"410730 DOUTOR CAMARGO";-;16;-;10;-;1;-;11;4;5;-;1;1;-;-;-;-;4;53
"410740 ENEAS MARQUES";1;8;-;9;-;1;-;15;5;-;-;-;-;-;-;-;1;8;48
"410750 ENGENHEIRO BELTRAO";2;13;-;8;3;6;-;35;12;6;1;-;5;-;-;-;2;9;102
"410752 ESPERANCA NOVA";-;4;-;-;-;2;-;6;4;2;-;-;-;1;-;-;-;2;21
"410753 ENTRE RIOS DO OESTE";1;7;-;2;-;2;-;14;1;1;-;-;-;-;2;-;-;3;33
"410754 ESPIGAO ALTO DO IGUACU";-;5;-;6;-;-;-;19;9;1;-;-;1;-;-;-;-;9;50
"410755 FAROL";1;4;-;2;-;1;-;12;3;1;-;-;1;-;-;-;-;4;29
"410760 FAXINAL";2;16;1;11;3;3;-;37;19;5;1;1;4;-;-;-;3;18;124
"410765 FAZENDA RIO GRANDE";18;101;3;26;7;12;-;169;50;21;-;-;19;-;15;4;6;99;550
"410770 FENIX";2;6;-;5;-;-;-;20;7;-;-;-;2;-;-;-;-;10;52
"410773 FERNANDES PINHEIRO";-;3;-;-;-;1;-;7;5;3;-;-;2;-;-;-;3;7;31
"410775 FIGUEIRA";4;20;-;2;2;2;-;29;7;2;-;-;4;-;-;1;1;12;86
"410780 FLORAI";-;4;-;4;-;1;-;17;8;2;-;-;2;-;-;1;-;3;42
"410785 FLOR DA SERRA DO SUL";-;10;-;3;1;1;-;10;6;-;-;-;1;-;-;-;1;-;33
"410790 FLORESTA";2;17;-;4;1;3;-;9;6;3;-;-;-;-;-;-;-;5;50
"410800 FLORESTOPOLIS";2;15;-;7;1;3;-;36;9;2;-;-;4;-;1;-;2;9;91
"410810 FLORIDA";-;3;-;-;-;2;-;8;2;2;-;-;-;-;-;-;1;4;22
"410820 FORMOSA DO OESTE";-;10;-;5;1;1;-;30;3;2;-;-;1;-;-;-;1;7;61
"410830 FOZ DO IGUACU";52;312;4;95;12;34;1;370;192;87;9;7;39;2;31;16;20;242;1525
"410832 FRANCISCO ALVES";3;4;-;2;-;4;-;16;7;4;2;1;2;-;1;-;3;4;53
"410840 FRANCISCO BELTRAO";5;101;-;29;5;8;-;120;76;21;1;1;15;-;10;5;28;49;474
"410845 FOZ DO JORDAO";2;4;-;5;-;-;-;11;6;3;-;-;3;-;-;-;1;5;40
"410850 GENERAL CARNEIRO";4;19;-;2;1;4;-;23;10;4;-;-;3;1;-;-;1;8;80
"410855 GODOY MOREIRA";-;2;-;3;-;1;-;10;3;2;-;-;4;-;-;1;1;3;30
"410860 GOIOERE";5;33;1;14;1;6;-;58;25;12;1;1;7;-;3;2;4;29;202
"410865 GOIOXIM";-;3;-;1;-;1;-;7;5;1;-;-;3;-;-;-;-;3;24
"410870 GRANDES RIOS";1;3;-;5;-;-;-;20;9;2;-;-;-;-;1;-;1;4;46
"410880 GUAIRA";9;46;-;23;1;13;-;69;19;9;-;1;10;-;1;3;6;36;246
"410890 GUAIRACA";1;5;-;7;3;-;-;12;2;1;-;-;-;-;-;-;1;7;39
"410895 GUAMIRANGA";1;15;-;3;-;1;-;13;10;-;-;-;1;-;-;1;4;7;56
"410900 GUAPIRAMA";1;7;1;2;1;-;-;12;4;2;-;-;1;-;1;-;3;4;39
"410910 GUAPOREMA";-;4;-;-;1;2;-;4;3;1;-;-;1;-;-;-;1;3;20
"410920 GUARACI";-;5;-;2;-;-;-;11;9;-;-;-;-;-;2;1;1;6;37
"410930 GUARANIACU";5;30;-;4;1;2;-;25;18;5;-;2;1;-;1;-;-;14;108
"410940 GUARAPUAVA";23;239;7;41;7;33;-;346;203;57;-;7;35;-;19;12;19;144;1192
"410950 GUARAQUECABA";2;8;-;2;-;1;-;16;3;2;-;-;1;-;-;-;4;1;40
"410960 GUARATUBA";15;35;-;12;1;3;-;52;21;13;-;2;11;-;4;3;27;49;248
"410965 HONORIO SERPA";-;3;-;1;-;-;-;8;3;-;-;-;-;-;1;1;-;2;19
"410970 IBAITI";17;27;-;9;-;14;-;74;26;11;1;2;7;-;-;2;1;13;204
"410975 IBEMA";1;12;-;-;3;1;-;13;10;3;-;-;2;-;-;-;1;10;56
"410980 IBIPORA";9;70;3;27;5;21;-;80;49;16;-;1;13;-;8;4;2;45;353
"410990 ICARAIMA";3;13;-;5;2;1;-;25;6;7;-;1;-;-;-;-;3;5;71
"411000 IGUARACU";-;4;-;2;-;-;-;11;4;-;-;-;1;1;-;-;1;2;26
"411005 IGUATU";-;1;-;1;1;1;-;3;2;1;-;-;1;-;-;-;1;2;14
"411007 IMBAU";2;15;-;3;-;5;-;23;11;5;-;-;3;-;3;1;3;11;85
"411010 IMBITUVA";7;39;1;10;2;3;-;46;36;11;-;1;4;-;4;1;6;24;195
"411020 INACIO MARTINS";1;12;-;5;-;2;-;23;12;4;-;-;1;-;-;1;-;12;73
"411030 INAJA";1;4;-;3;3;1;-;10;2;-;-;-;-;-;-;2;-;-;26
"411040 INDIANOPOLIS";1;3;1;3;1;3;-;21;4;-;1;-;3;-;1;-;-;3;45
"411050 IPIRANGA";5;17;1;2;-;1;-;17;9;6;-;-;1;-;1;-;8;4;72
"411060 IPORA";1;13;-;18;3;5;-;49;19;3;-;-;7;-;1;2;10;9;140
"411065 IRACEMA DO OESTE";-;3;2;-;-;-;-;13;2;1;-;-;1;-;-;-;1;1;24
"411070 IRATI";6;76;1;16;4;9;-;109;68;21;1;3;10;-;6;-;7;39;376
"411080 IRETAMA";2;21;1;5;1;4;-;25;12;6;-;1;1;-;1;-;-;13;93
"411090 ITAGUAJE";1;3;-;4;-;-;-;17;4;-;-;-;-;-;-;-;-;3;32
"411095 ITAIPULANDIA";1;13;3;5;-;1;-;23;4;4;-;-;-;-;1;2;1;5;63
"411100 ITAMBARACA";4;8;-;1;-;-;-;16;7;2;-;-;2;-;1;-;3;3;47
"411110 ITAMBE";1;8;-;3;-;1;-;17;8;2;-;2;2;-;1;-;1;5;51
"411120 ITAPEJARA D'OESTE";2;23;1;3;-;1;-;18;11;8;-;-;3;-;-;-;-;6;76
"411125 ITAPERUCU";4;24;-;6;2;4;-;43;19;5;-;1;5;-;1;1;5;21;141
"411130 ITAUNA DO SUL";-;1;-;2;-;1;-;6;5;1;-;-;-;-;-;-;1;2;19
"411140 IVAI";2;8;1;3;3;2;-;13;10;2;2;-;3;-;-;-;21;9;79
"411150 IVAIPORA";6;40;1;12;5;5;-;91;41;17;2;1;6;-;-;-;5;28;260
"411155 IVATE";1;12;-;5;-;-;-;14;16;-;-;-;2;-;-;-;3;10;63
"411160 IVATUBA";2;6;-;2;-;1;-;8;2;2;-;1;-;-;-;-;-;5;29
"411170 JABOTI";1;7;-;3;-;-;-;17;3;-;-;-;2;-;-;1;1;1;36
"411180 JACAREZINHO";10;47;1;23;5;2;-;99;44;21;1;-;8;-;2;3;12;32;310
"411190 JAGUAPITA";5;16;-;9;2;2;-;24;14;5;-;1;1;-;4;2;1;19;105
"411200 JAGUARIAIVA";2;32;-;12;4;5;-;65;29;13;-;2;9;-;3;3;6;19;204
"411210 JANDAIA DO SUL";3;40;1;14;3;5;-;52;25;19;-;-;2;-;-;1;3;18;186
"411220 JANIOPOLIS";1;3;-;4;-;1;-;16;4;4;-;-;2;-;-;-;-;8;43
"411230 JAPIRA";3;6;-;2;1;-;-;8;5;3;-;-;-;-;1;-;1;6;36
"411240 JAPURA";1;12;-;4;1;1;-;22;13;3;-;-;3;-;1;-;-;6;67
"411250 JARDIM ALEGRE";2;20;-;7;-;3;-;30;12;9;-;1;-;-;-;-;2;9;95
"411260 JARDIM OLINDA";-;1;-;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;5
"411270 JATAIZINHO";3;21;-;7;3;2;-;19;9;3;-;-;-;-;5;1;-;15;88
"411275 JESUITAS";-;20;3;2;-;-;-;34;9;1;-;-;5;-;-;2;4;6;86
"411280 JOAQUIM TAVORA";4;12;-;9;-;1;-;35;16;6;-;-;2;-;2;1;2;11;101
"411290 JUNDIAI DO SUL";1;6;-;1;1;-;-;9;6;2;-;-;1;-;-;-;2;2;31
"411295 JURANDA";-;11;1;3;-;2;-;18;3;3;1;-;-;-;-;-;1;11;54
"411300 JUSSARA";-;9;-;11;1;2;-;19;14;2;-;-;1;-;1;-;-;7;67
"411310 KALORE";1;3;-;5;-;1;-;17;7;1;-;-;-;-;-;-;-;-;35
"411320 LAPA";20;72;-;19;-;9;-;84;33;18;1;1;10;1;3;2;13;28;314
"411325 LARANJAL";-;6;-;1;-;2;-;15;7;1;-;-;-;-;-;-;-;4;36
"411330 LARANJEIRAS DO SUL";8;35;-;24;9;2;-;58;34;16;1;1;3;-;5;3;2;33;234
"411340 LEOPOLIS";-;6;-;1;-;-;-;10;5;1;-;-;3;-;2;-;4;2;34
"411342 LIDIANOPOLIS";-;7;-;6;-;1;-;15;10;1;-;-;2;-;-;-;1;7;50
"411345 LINDOESTE";-;7;-;3;1;1;-;9;7;-;-;-;3;-;1;-;3;8;43
"411350 LOANDA";2;34;-;11;2;5;-;55;13;7;-;-;2;-;1;-;1;22;155
"411360 LOBATO";-;3;-;2;-;2;-;18;3;1;1;-;1;-;-;-;-;6;37
"411370 LONDRINA";112;743;16;265;38;231;1;918;390;210;11;14;83;3;57;17;58;458;3625
"411373 LUIZIANA";2;7;1;4;-;1;-;12;13;5;-;1;2;-;-;2;1;5;56
"411375 LUNARDELLI";-;4;1;8;-;4;-;23;7;3;-;-;-;-;-;-;2;3;55
"411380 LUPIONOPOLIS";-;9;1;4;-;-;-;18;1;4;-;-;-;-;1;-;1;3;42
"411390 MALLET";3;20;-;3;2;-;-;39;9;6;-;-;1;-;1;-;1;10;95
"411400 MAMBORE";3;21;-;5;-;2;-;32;17;6;-;-;5;-;-;1;2;12;106
"411410 MANDAGUACU";3;31;1;12;-;4;-;37;18;10;-;1;5;-;2;4;1;20;149
"411420 MANDAGUARI";3;61;3;21;1;11;-;75;15;16;1;1;3;1;1;3;3;27;246
"411430 MANDIRITUBA";6;30;1;8;4;1;-;31;27;6;-;-;5;-;5;3;4;29;160
"411435 MANFRINOPOLIS";-;6;-;1;-;-;-;3;4;4;-;-;-;-;-;-;-;7;25
"411440 MANGUEIRINHA";-;21;1;6;1;6;-;24;14;4;-;1;3;-;-;1;1;14;97
"411450 MANOEL RIBAS";1;18;-;2;2;3;-;23;15;5;-;-;4;-;-;-;6;12;91
"411460 MARECHAL CANDIDO RONDON";7;76;-;21;1;19;-;105;30;21;-;2;9;1;4;7;4;38;345
"411470 MARIA HELENA";2;4;1;4;-;1;-;14;10;1;-;-;2;-;-;1;-;5;45
"411480 MARIALVA";2;48;-;13;4;8;-;67;27;10;1;2;9;-;4;-;2;19;216
"411490 MARILANDIA DO SUL";1;6;-;10;-;3;-;17;6;6;-;-;2;-;1;-;1;11;64
"411500 MARILENA";2;12;-;2;-;1;-;16;6;4;-;-;1;-;-;1;2;6;53
"411510 MARILUZ";3;9;2;10;-;-;-;18;11;6;-;-;2;-;4;1;2;5;73
"411520 MARINGA";76;541;7;106;10;145;-;574;290;112;5;12;96;-;34;18;19;241;2286
"411530 MARIOPOLIS";1;8;-;2;1;1;-;13;10;1;-;-;2;-;-;1;2;4;46
"411535 MARIPA";2;12;-;4;2;1;-;16;10;4;-;-;2;-;-;-;-;3;56
"411540 MARMELEIRO";6;20;-;3;-;4;-;23;16;6;-;1;5;-;4;3;3;8;102
"411545 MARQUINHO";-;1;-;1;-;-;-;5;5;-;1;-;-;-;-;-;1;1;15
"411550 MARUMBI";1;9;-;1;-;-;-;11;4;2;-;-;1;-;2;-;2;3;36
"411560 MATELANDIA";2;27;-;4;1;2;-;24;12;6;1;-;1;-;1;2;5;18;106
"411570 MATINHOS";10;27;-;10;2;7;-;57;29;11;-;-;7;-;7;1;62;44;274
"411573 MATO RICO";1;1;-;-;-;2;-;9;3;3;-;-;-;-;-;-;-;4;23
"411575 MAUA DA SERRA";3;5;-;2;-;2;-;24;8;4;-;-;2;-;-;-;1;24;75
"411580 MEDIANEIRA";8;51;3;13;1;12;-;58;46;9;-;1;7;-;5;1;5;43;263
"411585 MERCEDES";-;9;-;-;-;-;-;9;6;-;-;-;1;-;-;-;-;3;28
"411590 MIRADOR";-;5;-;1;1;-;-;11;1;1;1;-;1;-;-;1;-;-;23
"411600 MIRASELVA";-;5;-;-;-;-;-;2;4;-;-;-;-;-;-;1;1;6;19
"411605 MISSAL";-;18;-;-;-;3;-;17;11;3;1;-;2;-;1;-;9;11;76
"411610 MOREIRA SALES";6;20;-;10;-;5;-;45;14;10;-;-;2;1;1;-;3;17;134
"411620 MORRETES";8;29;-;5;-;3;-;36;17;3;-;-;2;-;3;1;13;13;133
"411630 MUNHOZ DE MELO";1;5;-;3;-;1;-;6;7;1;-;-;-;-;1;-;-;2;27
"411640 NOSSA SENHORA DAS GRACAS";2;-;1;1;-;1;-;10;5;7;-;-;-;-;-;-;1;4;32
"411650 NOVA ALIANCA DO IVAI";1;1;-;2;-;1;-;2;1;-;-;-;-;-;-;-;-;-;8
"411660 NOVA AMERICA DA COLINA";1;3;-;3;-;-;-;8;3;-;-;1;-;-;1;-;-;2;22
"411670 NOVA AURORA";-;19;-;8;-;7;-;30;7;3;-;-;1;-;-;-;-;10;85
"411680 NOVA CANTU";-;15;-;6;2;1;-;17;6;4;-;-;-;-;2;-;1;7;61
"411690 NOVA ESPERANCA";9;35;-;17;-;11;-;53;31;14;-;-;5;1;2;2;1;17;198
"411695 NOVA ESPERANCA DO SUDOESTE";1;8;-;-;1;-;-;14;4;-;-;-;-;-;2;-;2;3;35
"411700 NOVA FATIMA";6;12;-;1;1;2;-;20;11;4;-;-;-;-;1;-;4;3;65
"411705 NOVA LARANJEIRAS";3;19;-;7;3;1;-;15;15;-;-;-;-;-;-;-;3;16;82
"411710 NOVA LONDRINA";2;11;2;14;1;2;-;28;12;6;-;-;2;-;3;2;1;8;94
"411720 NOVA OLIMPIA";1;10;1;2;1;3;-;10;6;2;-;1;1;-;-;-;-;3;41
"411721 NOVA SANTA BARBARA";1;4;-;3;-;1;-;7;7;2;-;-;2;-;-;-;2;4;33
"411722 NOVA SANTA ROSA";1;15;1;6;-;-;-;31;6;2;1;-;1;-;2;-;2;4;72
"411725 NOVA PRATA DO IGUACU";2;15;1;2;-;2;-;14;15;5;-;-;2;-;-;-;1;5;64
"411727 NOVA TEBAS";2;7;-;7;1;1;-;18;6;2;-;-;-;1;-;-;5;3;53
"411729 NOVO ITACOLOMI";-;1;-;5;-;1;-;8;5;1;-;-;-;-;-;-;1;-;22
"411730 ORTIGUEIRA";3;29;-;11;-;2;-;57;20;9;-;-;3;-;2;2;4;26;168
